SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Manual Hourly (meter)
18,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 18:00,0.45
19,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 19:00,0.4
20,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 20:00,0.4
21,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 21:00,0.35
22,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 22:00,0.35
23,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,11-09-2012 23:00,0.3
24,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 00:00,0.3
25,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 01:00,0.3
26,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 13:00,0.25
27,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 14:00,0.25
28,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 15:00,0.3
29,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 16:00,0.25
30,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 17:00,0.25
31,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 18:00,0.3
32,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 19:00,0.3
33,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 20:00,0.3
34,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 21:00,0.3
35,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 22:00,0.3
36,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,12-09-2012 23:00,0.3
37,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 00:00,0.3
38,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 01:00,0.3
39,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 13:00,0.25
40,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 14:00,0.25
41,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 15:00,0.25
42,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 16:00,0.25
43,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 17:00,0.25
44,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 18:00,0.25
45,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 19:00,0.25
46,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 20:00,0.3
47,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 21:00,0.3
48,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 22:00,0.3
49,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,13-09-2012 23:00,0.3
50,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 00:00,0.25
51,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 01:00,0.25
52,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 13:00,0.25
53,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 14:00,0.25
54,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 15:00,0.25
55,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 16:00,0.25
56,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 17:00,0.25
57,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 18:00,0.25
58,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 19:00,0.25
59,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 20:00,0.25
60,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 21:00,0.25
61,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 22:00,0.25
62,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,14-09-2012 23:00,0.25
63,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 00:00,0.2
64,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 01:00,0.25
65,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 13:00,0.25
66,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 14:00,0.25
67,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 15:00,0.25
68,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 16:00,0.25
69,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 17:00,0.2
70,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 18:00,0.2
71,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 19:00,0.2
72,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 20:00,0.2
73,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 21:00,0.2
74,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 22:00,0.2
75,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,15-09-2012 23:00,0.2
76,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 00:00,0.2
77,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 01:00,0.2
78,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 13:00,0.2
79,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 14:00,0.2
80,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 15:00,0.2
81,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 16:00,0.2
82,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 17:00,0.2
83,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 18:00,0.2
84,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 19:00,0.2
85,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 20:00,0.2
86,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 21:00,0.2
87,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 22:00,0.2
88,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,16-09-2012 23:00,0.2
89,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 00:00,0.15
90,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 01:00,0.15
91,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 13:00,0.15
92,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 14:00,0.15
93,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 15:00,0.15
94,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 16:00,0.15
95,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 17:00,0.15
96,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 18:00,0.15
97,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 19:00,0.15
98,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 20:00,0.15
99,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 21:00,0.15
100,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 22:00,0.15
101,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,17-09-2012 23:00,0.15
102,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 00:00,0.1
103,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 01:00,0.15
104,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 13:00,0.1
105,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 14:00,0.1
106,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 15:00,0.1
107,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 16:00,0.1
108,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 17:00,0.1
109,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 18:00,0.1
110,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 19:00,0.1
111,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 20:00,0.1
112,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 21:00,0.1
113,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 22:00,0.1
114,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,18-09-2012 23:00,0.1
115,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 00:00,0.1
116,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 01:00,0.1
117,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 13:00,0.1
118,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 14:00,0.1
119,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 15:00,0.1
120,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 16:00,0.1
121,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 17:00,0.1
122,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 18:00,0.1
123,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 19:00,0.1
124,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 20:00,0.1
125,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 21:00,0.1
126,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 22:00,0.1
127,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,19-09-2012 23:00,0.1
128,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,20-09-2012 00:00,0.1
129,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,20-09-2012 01:00,0.1
130,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,20-09-2012 13:00,0.1
131,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,20-09-2012 14:00,0.1
132,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,20-09-2012 15:00,0.1
133,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,20-09-2012 16:00,0.1
134,KIM   DELHI,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Tapi,Tapi,-,-,-,-,21.56388889,73.20611111,No,0.0000,166.00,20-09-2012 17:00,0.1
